city,lat,lng,capital,population,admin
Tam Bình,10.048114,106.000171,minor,,Vĩnh Long
Tĩnh Gia,19.44645,105.778613,minor,,Thanh Hóa
Phước Vĩnh,11.294661,106.795328,minor,,Bình Dương
Long Thành,10.789087,106.950295,minor,,Đồng Nai
Đầm Dơi,8.992138,105.196023,minor,,Cà Mau
Thành Phố Hải Dương,20.940994,106.333016,admin,,Hải Dương
Thị Trấn Na Hang,22.349175,105.382414,minor,,Tuyên Quang
Đăk Đoa,13.995006,108.112065,minor,,Gia Lai
Bắc Sơn,21.899988,106.32077,minor,,Lạng Sơn
Ia Pa,13.533615,108.455285,minor,,Gia Lai
Châu Thành,11.311674,106.029503,minor,,Tây Ninh
Me,20.346972,105.836149,minor,,Ninh Bình
Trới,21.031409,106.991013,minor,,Quảng Ninh
Cái Nhum,10.174121,106.110506,minor,,Vĩnh Long
Pleiku,13.983333,108,admin,,Gia Lai
Sơn Tây,21.140534,105.506856,minor,,Hà Nội
Yên Định,20.201454,106.295785,minor,,Nam Định
Lắk,12.410865,108.176816,minor,,Đắk Lắk
A Lưới,16.272282,107.233849,minor,,Thừa Thiên-Huế
Thạnh Mỹ,15.748889,107.836776,minor,,Quảng Nam
Chư Ty,13.805068,107.6961,minor,,Gia Lai
Thanh Lưu,20.473979,105.952682,minor,,Hà Nam
Ô Môn,10.10974,105.623181,minor,,Cần Thơ
Thị Trấn Quảng Uyên,22.694988,106.44235,minor,,Cao Bằng
Phụng Hiệp,9.779723,105.733801,minor,,Hậu Giang
Cù Lao Dung,9.673137,106.148744,minor,,Sóc Trăng
Dương Minh Châu,11.38414,106.230776,minor,,Tây Ninh
Giồng Trôm,10.150212,106.506057,minor,,Bến Tre
Nam Sách,20.992053,106.336128,minor,,Hải Dương
Thanh Hóa,19.8,105.766667,admin,,Thanh Hóa
Đinh Văn,11.786241,108.242819,minor,,Lâm Đồng
Quảng Hà,21.4506,107.755918,minor,,Quảng Ninh
Minh Long,14.93218,108.703279,minor,,Quảng Ngãi
Thị Trấn Thất Khê,22.255252,106.473593,minor,,Lạng Sơn
Vĩnh Thạnh,14.108837,108.78381,minor,,Bình Định
Trà Bồng,15.255691,108.517225,minor,,Quảng Ngãi
Cầu Gồ,21.476786,106.126531,minor,,Bắc Giang
Thành Phố Sơn La,21.325598,103.91882,admin,,Sơn La
Thị Trấn Na Sầm,22.056392,106.6151,minor,,Lạng Sơn
Hương Sơn,21.460142,105.978142,minor,,Thái Nguyên
Quan Sơn,20.259092,104.945212,minor,,Thanh Hóa
An Dương,20.863816,106.613301,minor,,Hải Phòng
Đông Thành,10.892205,106.306136,minor,,Long An
Gia Bình,21.059381,106.174684,minor,,Bắc Ninh
Ba Đồn,17.753527,106.423547,minor,,Quảng Bình
Biên Hòa,10.944689,106.824317,admin,,Đồng Nai
Hưng Yên,20.646366,106.05112,admin,,Hưng Yên
Thủ Thừa,10.602317,106.402073,minor,,Long An
Hồ Xá,17.068362,107.005198,minor,,Quảng Trị
Thị Trấn Bảo Lạc,22.949239,105.68046,minor,,Cao Bằng
Kiên Lương,10.286239,104.646159,minor,,Kiến Giang
Quốc Oai,20.990187,105.640876,minor,,Hà Nội
Thị Trấn Xuân Hoà,22.902427,106.077366,minor,,Cao Bằng
Thiên Tồn,20.299047,105.951976,minor,,Ninh Bình
